u,i1,i2,nl
0,1043.0,,
1,3497.0,,
2,5298.0,,
3,6270.0,,
4,1505.0,,
5,7449.0,,
6,7655.0,,
7,1170.0,,
8,4384.0,,
9,869.0,,
10,5010.0,,
11,5058.0,,
12,728.0,,
13,2816.0,,
14,7642.0,,
15,2001.0,,
16,2007.0,,
17,298.0,,
18,7620.0,,
19,7470.0,,
20,4836.0,,
21,3512.0,,
22,3203.0,,
23,3502.0,,
24,5966.0,,
25,5825.0,,
26,7557.0,,
27,7229.0,,
28,5966.0,,
29,4384.0,,
30,2816.0,,
31,7956.0,,
32,3484.0,,
33,2320.0,,
34,800.0,,
35,1511.0,,
36,2809.0,,
37,7367.0,,
38,3399.0,,
39,840.0,,
40,4574.0,,
41,3502.0,,
42,5024.0,,
43,4863.0,,
44,3355.0,,
45,4308.0,,
46,335.0,,
47,5298.0,,
48,6426.0,,
49,4053.0,,
50,6654.0,,
51,7620.0,,
52,7946.0,,
53,4964.0,,
54,2809.0,,
55,4308.0,,
56,4964.0,,
57,4384.0,,
58,5058.0,,
59,6906.0,,
60,3486.0,,
61,1093.0,,
62,5298.0,,
63,1388.0,,
64,7470.0,,
65,728.0,,
66,2212.0,,
67,2148.0,,
68,6276.0,,
69,1124.0,,
70,63.0,,
71,7790.0,,
72,2200.0,,
73,2007.0,,
74,393.0,,
75,6906.0,,
76,2509.0,,
77,5058.0,,
78,3248.0,,
79,728.0,,
80,2007.0,,
81,5106.0,,
82,2212.0,,
83,4384.0,,
84,5106.0,,
85,1388.0,,
86,4987.0,,
87,6696.0,,
88,1910.0,,
89,2212.0,,
90,3668.0,,
91,5966.0,,
92,7956.0,,
93,4096.0,,
94,2832.0,,
95,1043.0,,
96,7655.0,,
97,7642.0,,
98,5106.0,,
99,7655.0,,
100,5180.0,,
101,7946.0,,
102,2200.0,,
103,342.0,,
104,2816.0,,
105,5058.0,,
106,5319.0,,
107,3502.0,,
108,6324.0,,
109,6654.0,,
110,7470.0,,
111,3203.0,,
112,6696.0,,
113,5058.0,,
114,1786.0,,
115,7258.0,,
116,2809.0,,
117,393.0,,
118,1119.0,,
119,2757.0,,
120,4987.0,,
121,2816.0,,
