u,i1,i2,hl,nl
0,,,3564,"[288.585, 10.89, 133.65, 0.0, 17.0, 6.0, 15.84]"
1,,,4091,"[448.965, 25.0, 38.0, 47.519999999999996, 88.0, 16.0, 9.0]"
2,,,2988,"[3701.8999999999996, 297.0, 1437.48, 85.0, 142.56, 544.5, 141.57]"
3,,,4814,"[578.655, 61.0, 46.0, 28.71, 32.0, 58.0, 14.0]"
4,,,3039,"[929.6999999999999, 35.64, 99.99, 99.0, 114.84, 17.0, 39.6]"
5,,,2280,"[563.112, 22.77, 167.31, 39.6, 26.73, 43.56, 30.69]"
6,,,740,"[853.4, 50.49, 294.03, 26.0, 22.77, 73.0, 41.58]"
7,,,4096,"[750.717, 91.0, 15.84, 35.64, 88.11, 68.0, 2.9699999999999998]"
8,,,740,"[780.3, 29.0, 275.21999999999997, 28.0, 20.0, 18.81, 47.519999999999996]"
9,,,484,"[411.741, 35.64, 19.8, 36.63, 71.0, 29.7, 4.95]"
10,,,416,"[604.5999999999999, 39.0, 118.8, 32.67, 24.0, 62.0, 19.8]"
11,,,4091,"[2446.9829999999997, 188.1, 1186.0, 68.31, 102.96, 350.46, 105.0]"
12,,,647,"[4077.4, 515.79, 344.52, 121.0, 237.6, 194.0, 61.38]"
13,,,2848,"[1188.7920000000001, 141.0, 16.83, 101.0, 153.45, 209.0, 4.95]"
14,,,647,"[6721.11, 954.0, 640.0, 48.0, 276.0, 293.04, 87.12]"
15,,,2949,"[493.02, 36.63, 116.0, 17.82, 19.8, 51.0, 18.81]"
16,,,2949,"[892.485, 84.15, 286.11, 10.89, 29.7, 165.0, 29.0]"
17,,,679,"[2075.8, 198.99, 729.0, 19.8, 57.42, 348.48, 67.32]"
18,,,2549,"[680.13, 31.0, 299.0, 162.35999999999999, 27.72, 25.74, 36.63]"
19,,,827,"[189.783, 7.92, 99.0, 1.0, 0.99, 16.0, 10.0]"
20,,,647,"[3519.351, 483.12, 360.36, 25.0, 142.0, 164.34, 51.0]"
21,,,4782,"[561.4289999999999, 66.33, 48.51, 12.87, 16.83, 101.0, 10.89]"
22,,,312,"[738.54, 21.0, 69.0, 30.0, 39.0, 9.0, 44.0]"
23,,,740,"[886.545, 47.0, 268.0, 46.0, 54.0, 56.43, 42.0]"
24,,,740,"[538.857, 17.0, 230.67, 19.0, 13.86, 21.78, 34.0]"
25,,,3335,"[341.2, 44.55, 19.0, 5.0, 9.0, 58.0, 4.0]"
26,,,437,"[643.9, 70.0, 16.0, 35.0, 42.0, 127.71, 11.0]"
27,,,679,"[470.646, 52.0, 15.0, 14.85, 25.0, 75.0, 8.91]"
28,,,740,"[801.3, 23.759999999999998, 383.13, 19.8, 18.0, 9.9, 52.47]"
29,,,4091,"[3724.7, 497.0, 338.58, 69.3, 222.0, 160.38, 45.54]"
30,,,4177,"[613.899, 54.0, 31.68, 41.0, 82.17, 92.0, 11.879999999999999]"
31,,,740,"[912.5999999999999, 43.0, 235.62, 95.0, 66.33, 70.29, 44.0]"
32,,,740,"[886.3, 33.66, 244.53, 46.0, 98.01, 49.0, 39.6]"
33,,,2138,"[491.436, 41.0, 3.96, 42.0, 53.46, 68.31, 8.91]"
34,,,2549,"[779.229, 41.0, 312.84, 181.0, 50.49, 29.7, 37.62]"
35,,,1071,"[725.67, 61.38, 164.34, 18.81, 72.27, 90.0, 18.0]"
36,,,4945,"[1475.5, 102.96, 205.92, 86.0, 101.0, 100.0, 55.44]"
37,,,0,"[900.0999999999999, 45.0, 76.23, 79.0, 182.0, 41.0, 20.0]"
38,,,1646,"[568.854, 30.69, 226.0, 43.0, 39.0, 41.58, 26.0]"
39,,,4164,"[899.712, 107.0, 132.0, 84.0, 13.0, 49.0, 22.0]"
40,,,4642,"[1148.598, 125.0, 3.96, 63.36, 87.12, 216.81, 20.79]"
41,,,740,"[1000.296, 78.21, 237.0, 85.14, 67.0, 149.0, 35.64]"
42,,,908,"[263.241, 7.92, 135.0, 7.92, 8.0, 15.84, 15.84]"
43,,,4446,"[530.8, 17.82, 332.64, 141.0, 14.85, 4.0, 35.0]"
44,,,647,"[3442.626, 484.0, 332.64, 23.759999999999998, 141.57, 149.49, 46.53]"
