u,i1,i2,hl,nl
0,,5010,,
1,,6906,,
2,,2499,,
3,,1257,,
4,,7655,,
5,,2499,,
6,,5010,,
7,,2499,,
8,,4717,,
9,,5010,,
10,,63,,
11,,6906,,
12,,2499,,
13,,5010,,
14,,2499,,
15,,5010,,
16,,5319,,
17,,3217,,
18,,5010,,
19,,2683,,
20,,335,,
21,,2499,,
22,,2499,,
23,,6906,,
24,,5319,,
25,,7449,,
26,,6906,,
27,,2683,,
28,,6906,,
29,,6906,,
30,,6906,,
31,,6906,,
32,,5319,,
33,,2499,,
34,,6906,,
35,,2499,,
36,,6906,,
37,,4253,,
38,,6906,,
39,,3184,,
40,,5010,,
41,,332,,
42,,5006,,
43,,63,,
44,,5319,,
45,,2499,,
46,,6335,,
47,,3203,,
48,,2499,,
49,,4717,,
50,,4717,,
51,,3184,,
52,,7655,,
53,,5319,,
54,,3203,,
55,,4253,,
56,,1833,,
57,,3203,,
58,,5006,,
59,,2499,,
60,,2499,,
61,,3203,,
62,,3203,,
63,,3203,,
64,,6906,,
65,,2683,,
66,,2499,,
67,,1168,,
68,,6906,,
69,,63,,
70,,5010,,
71,,1168,,
72,,332,,
73,,4717,,
74,,5010,,
75,,2683,,
76,,2499,,
77,,1511,,
78,,332,,
79,,2499,,
80,,6335,,
81,,5006,,
82,,1124,,
83,,2499,,
84,,5006,,
85,,4253,,
86,,6906,,
87,,2499,,
88,,2499,,
89,,5319,,
90,,2499,,
91,,800,,
92,,5010,,
93,,2499,,
94,,2022,,
95,,6906,,
96,,3203,,
97,,5180,,
98,,5319,,
99,,3203,,
100,,7557,,
101,,6906,,
102,,5010,,
103,,7470,,
104,,5319,,
105,,5319,,
106,,6906,,
107,,63,,
108,,7946,,
109,,6276,,
110,,6654,,
111,,6906,,
112,,1168,,
113,,5010,,
114,,5010,,
115,,3203,,
116,,5006,,
117,,5006,,
118,,3203,,
119,,3203,,
120,,3203,,
121,,4253,,
122,,2683,,
123,,3203,,
124,,4253,,
125,,2499,,
126,,2499,,
127,,6906,,
128,,6696,,
129,,5006,,
130,,4574,,
131,,4717,,
132,,4253,,
133,,2499,,
134,,5006,,
135,,332,,
136,,5010,,
137,,7213,,
138,,7655,,
139,,2683,,
140,,7655,,
141,,5648,,
142,,3203,,
143,,3723,,
144,,6906,,
145,,2499,,
146,,63,,
147,,2499,,
148,,2499,,
149,,2499,,
150,,7655,,
151,,3184,,
152,,4717,,
153,,2499,,
154,,332,,
155,,5006,,
156,,3184,,
157,,5006,,
158,,6906,,
159,,7449,,
160,,2499,,
161,,6906,,
162,,4717,,
163,,2499,,
164,,1833,,
165,,800,,
166,,6906,,
167,,2499,,
168,,800,,
169,,800,,
170,,332,,
171,,63,,
172,,7449,,
173,,5010,,
174,,5010,,
175,,7449,,
176,,4253,,
177,,3184,,
178,,5010,,
179,,1168,,
180,,2499,,
181,,4717,,
182,,3203,,
183,,3203,,
184,,6696,,
185,,5006,,
186,,2499,,
187,,3203,,
188,,6276,,
189,,6335,,
190,,1511,,
191,,5319,,
192,,3203,,
193,,3497,,
194,,5010,,
195,,2499,,
196,,3203,,
197,,5010,,
198,,6906,,
199,,6906,,
200,,2683,,
201,,2499,,
202,,2499,,
203,,5319,,
204,,4717,,
205,,2499,,
206,,2499,,
207,,3184,,
208,,1252,,
209,,3203,,
210,,7655,,
