u,i1,i2,nl
0,,,"[342.2, 7.0, 59.0, 24.0, 32.0, 3.0, 20.0]"
1,,,"[204.8, 5.0, 9.0, 26.0, 24.0, 2.0, 10.0]"
2,,,"[132.3, 11.0, 39.0, 5.0, 4.0, 11.0, 5.0]"
3,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
4,,,"[245.3, 14.0, 17.0, 44.0, 39.0, 17.0, 7.0]"
5,,,"[412.6, 0.0, 410.0, 2.0, 0.0, 0.0, 35.0]"
6,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
7,,,"[115.4, 12.0, 13.0, 16.0, 12.0, 26.0, 1.0]"
8,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
9,,,"[316.0, 4.0, 40.0, 37.0, 78.0, 4.0, 10.0]"
10,,,"[225.1, 22.0, 21.0, 13.0, 23.0, 25.0, 3.0]"
11,,,"[672.8, 19.0, 21.0, 4.0, 94.0, 12.0, 29.0]"
12,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
13,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
14,,,"[710.0, 44.0, 210.0, 7.0, 94.0, 50.0, 21.0]"
15,,,"[95.3, 1.0, 50.0, 16.0, 5.0, 0.0, 7.0]"
16,,,"[330.2, 20.0, 22.0, 46.0, 84.0, 14.0, 2.0]"
17,,,"[209.0, 10.0, 17.0, 12.0, 53.0, 10.0, 3.0]"
18,,,"[182.4, 2.0, 50.0, 7.0, 11.0, 1.0, 13.0]"
19,,,"[240.3, 1.0, 19.0, 36.0, 25.0, 1.0, 15.0]"
20,,,"[429.7, 55.0, 11.0, 18.0, 26.0, 93.0, 4.0]"
21,,,"[549.0, 40.0, 41.0, 20.0, 38.0, 34.0, 20.0]"
22,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
23,,,"[159.0, 2.0, 8.0, 13.0, 18.0, 1.0, 9.0]"
24,,,"[401.1, 28.0, 117.0, 10.0, 8.0, 28.0, 18.0]"
25,,,"[325.1, 27.0, 8.0, 24.0, 16.0, 47.0, 10.0]"
26,,,"[274.2, 12.0, 15.0, 18.0, 32.0, 22.0, 12.0]"
27,,,"[272.2, 22.0, 10.0, 20.0, 50.0, 42.0, 3.0]"
