user,include,item list,len,without constraint
0,5298,[2390],1,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,6276,"[4005, 58, 1074]",3,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,3203,"[4270, 1715, 4847, 2953, 1611]",5,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
1,2320,"[2639, 1611]",2,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,5319,"[3224, 4014]",2,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,1910,[4005],1,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
2,4717,"[2944, 484, 1857]",3,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,5185,"[1725, 1611]",2,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,1329,[193],1,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
3,7557,[4945],1,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,4253,[4932],1,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,1119,[2549],1,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
4,6324,[3102],1,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
4,1511,[1028],1,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
4,3668,[1856],1,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
5,4836,[3685],1,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,5915,[],0,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,5168,"[2883, 3282]",2,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
6,4836,[1162],1,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,4096,[],0,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,1910,[1595],1,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
7,7470,"[4804, 3095]",2,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,5180,"[2608, 3459, 2843]",3,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,4964,[382],1,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
8,7642,[57],1,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,1833,[1605],1,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,1093,"[3510, 1405]",2,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
9,7233,[4194],1,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
9,2832,[1667],1,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
9,4863,[],0,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
10,4574,[],0,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,2816,[],0,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
10,332,"[4207, 1287]",2,"['983', '2274', '300', '4642', '238', '4142', '2289', '182', '145', '4207', '1409', '4680', '1619', '361', '1287', '193', '4292', '1400', '2280', '3704', '2210', '1860', '3094', '2368', '2311', '2392', '191', '3078', '945', '3793']"
11,4253,"[1178, 218]",2,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,7470,"[4665, 1984]",2,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
11,2856,"[4683, 1178]",2,"['1740', '3459', '4683', '2988', '1684', '832', '4005', '4665', '4446', '740', '3732', '2207', '3409', '1178', '908', '1984', '647', '3234', '218', '1254', '4738', '3164', '145', '4270', '2949', '1197', '4106', '2356', '4650', '125']"
12,8021,[1904],1,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,6270,"[4918, 238, 3676, 882, 1822, 2077, 217, 181, 3440, 240]",10,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
12,3217,[],0,"['4918', '238', '3676', '1904', '2988', '268', '882', '1822', '953', '1219', '2637', '1928', '2077', '217', '2532', '181', '3440', '240', '3955', '382', '1485', '1209', '3198', '483', '284', '1091', '3590', '3834', '145', '2829']"
13,5966,[],0,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,1511,"[4783, 1921, 203]",3,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
13,7946,"[1711, 3652, 3259]",3,"['4783', '112', '80', '3732', '1585', '225', '1856', '627', '1711', '4086', '4270', '928', '3092', '1633', '2280', '908', '3652', '3885', '2957', '3259', '3089', '4683', '2834', '1921', '2988', '4106', '3409', '4501', '203', '2903']"
14,5966,[],0,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,5825,[],0,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
14,3723,"[116, 4396]",2,"['647', '193', '2949', '2274', '284', '2355', '27', '3519', '764', '1960', '870', '983', '4642', '908', '2298', '3431', '780', '116', '505', '740', '4382', '1219', '2210', '4270', '477', '744', '413', '4396', '2138', '2050']"
15,6276,[1088],1,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,3217,"[3685, 1709]",2,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
15,7470,[4791],1,"['647', '125', '2949', '1088', '3888', '3685', '18', '4270', '4642', '617', '3085', '4767', '565', '72', '4791', '2401', '1595', '3626', '2055', '4106', '4194', '740', '3335', '1709', '3354', '1554', '4090', '505', '4342', '621']"
16,5915,[],0,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,3203,"[3018, 3045, 4788, 4243, 1611, 332, 4270, 2903, 2639]",9,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
16,3668,"[2063, 4243]",2,"['740', '284', '2530', '3018', '80', '3652', '2063', '3045', '72', '3966', '4507', '4788', '4106', '4243', '1740', '2355', '1611', '2306', '332', '2775', '109', '4270', '4767', '2420', '2548', '499', '2903', '145', '2639', '4814']"
17,4253,"[4024, 1522]",2,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,2148,[],0,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
17,3440,"[1708, 2799]",2,"['708', '2155', '361', '4005', '2773', '3543', '1708', '2508', '113', '2560', '1351', '2501', '4245', '4756', '3432', '112', '565', '853', '1602', '4501', '2549', '1752', '343', '2799', '4024', '3043', '1522', '300', '85', '4683']"
18,3723,"[617, 3278]",2,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,5168,"[2970, 565]",2,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
18,7470,"[2730, 107, 4675]",3,"['647', '4533', '3335', '617', '3459', '2730', '1126', '1198', '4954', '2949', '4642', '3375', '117', '1088', '1089', '2970', '565', '3782', '3397', '107', '4245', '708', '4545', '3278', '361', '3337', '1726', '4675', '27', '920']"
19,6276,"[361, 4349]",2,"['145', '1175', '3335', '3654', '1636', '3799', '2639', '2274', '983', '4245', '2224', '4783', '3732', '4106', '73', '3783', '2353', '832', '1053', '361', '4098', '2772', '866', '2907', '4652', '4349', '1674', '3479', '2522', '2697']"
