user,exclude,item list,len,without constraint
0,840,"[4005, 4270, 2549, 2280, 2274, 105, 276, 935, 58, 725]",10,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,2499,"[4005, 1894, 4270, 2549, 2280, 2274, 105, 935, 725, 10]",10,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,5010,"[4270, 2549, 2280, 2274, 105, 276, 725, 10, 2120, 3409]",10,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
1,2499,"[4783, 740, 2658, 3224, 2639, 4642, 3409, 2773, 4086, 112]",10,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,5010,"[4783, 740, 2658, 3224, 98, 4642, 3409, 2773, 4086, 112]",10,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,6906,"[740, 2658, 3224, 2639, 4642, 3409, 2773, 4086, 112, 2368]",10,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
2,6270,"[4106, 361, 145, 1725, 1190, 251, 1673, 239, 3102, 4193]",10,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,840,"[4642, 4106, 361, 145, 2139, 238, 2832, 1725, 1190, 251]",10,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,2499,"[4642, 4106, 361, 2139, 238, 2832, 1725, 1190, 1673, 2368]",10,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
3,7449,"[4446, 866, 297, 786, 4945, 2549, 2848, 1601, 679, 4894]",10,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,6654,"[4446, 767, 866, 297, 786, 4945, 2549, 2848, 1601, 679]",10,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,1257,"[4446, 767, 866, 297, 786, 2549, 2848, 1601, 679, 4894]",10,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
4,5010,"[4880, 1600, 4596, 2949, 4061, 1028, 4586, 3102, 3643, 127]",10,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
4,6906,"[4880, 1600, 4596, 2949, 4061, 1028, 1522, 4586, 3102, 3643]",10,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
4,7655,"[4880, 1600, 4596, 2949, 4061, 1028, 4586, 3102, 3643, 127]",10,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
5,6270,"[827, 2949, 276, 2633, 266, 4319, 2741, 4869, 2883, 1611]",10,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,840,"[827, 2280, 2949, 276, 266, 505, 4319, 2741, 4869, 4270]",10,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
5,2499,"[827, 2280, 2949, 2633, 266, 505, 4319, 2741, 4869, 2883]",10,"['827', '2280', '2949', '276', '2633', '266', '3889', '505', '4319', '2741', '4869', '2883', '1611', '4561', '4270', '4308', '2295', '953', '2528', '261', '2181', '4082', '3282', '125', '2401', '1649', '3685', '4106', '3233', '2694']"
6,840,"[983, 1519, 2256, 2280, 4270, 3314, 2293, 112, 4922, 72]",10,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,2499,"[983, 1519, 2256, 2280, 4270, 3335, 2293, 112, 1667, 4922]",10,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
6,5010,"[983, 1519, 2256, 2280, 4270, 3335, 3314, 112, 3889, 80]",10,"['983', '1519', '2256', '2280', '4270', '3335', '3314', '2293', '112', '1667', '4922', '72', '3873', '3889', '80', '2866', '3424', '1595', '3350', '3652', '4783', '2848', '4256', '3102', '1646', '1162', '193', '2377', '1522', '2442']"
7,6270,"[3785, 3322, 66, 2608, 3526, 2613, 3459, 2949, 4814, 4645]",10,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,840,"[20, 4493, 3785, 3322, 2608, 2549, 4804, 3526, 2613, 1612]",10,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
7,2499,"[4690, 20, 3785, 3322, 2608, 2549, 3526, 3335, 2613, 1612]",10,"['4690', '20', '284', '4493', '3785', '3322', '66', '2608', '2549', '4804', '3526', '3335', '2613', '1612', '3459', '453', '2949', '4814', '4645', '4754', '3528', '4447', '3095', '4596', '2750', '4573', '276', '382', '2843', '2510']"
8,840,"[3732, 125, 3510, 361, 3078, 711, 4098, 1405, 495, 4757]",10,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,2499,"[3732, 125, 3510, 4039, 361, 3078, 711, 4098, 1667, 1405]",10,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
8,4717,"[3732, 125, 3510, 4039, 361, 3078, 711, 4098, 1667, 1405]",10,"['3732', '125', '3510', '4039', '361', '3078', '711', '4098', '1667', '1405', '495', '4757', '3007', '4578', '2988', '2681', '57', '4918', '708', '182', '3459', '1605', '1684', '397', '1460', '2055', '2342', '4814', '4735', '4954']"
9,840,"[708, 4738, 2274, 4752, 1198, 2949, 2876, 181, 3003, 3366]",10,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
9,2499,"[4738, 2274, 1611, 1667, 2444, 1198, 2949, 2876, 181, 3282]",10,"['648', '708', '4738', '2274', '1611', '1667', '2444', '3027', '4752', '1198', '2949', '2876', '181', '3282', '3003', '3366', '80', '4533', '1087', '4501', '4270', '125', '4642', '4194', '1911', '4016', '2921', '2096', '4573', '2280']"
