user,history,target,item list,len,without constraint
0,4005,"[609.1, 49.0, 16.83, 36.0, 56.43, 55.0, 17.0]",[],0,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,1894,"[938.52, 68.31, 34.65, 41.58, 77.0, 111.0, 31.68]",[276],1,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
0,4270,"[458.469, 41.58, 24.0, 31.68, 26.73, 54.45, 13.86]",[],0,"['4005', '1894', '4270', '2549', '2280', '2274', '105', '276', '935', '58', '725', '10', '2120', '3409', '125', '1715', '3905', '4847', '1074', '2953', '4318', '145', '4642', '3510', '1740', '1611', '2420', '2390', '2706', '4932']"
1,4783,"[1813.6, 26.0, 291.06, 215.82, 94.05, 41.0, 122.76]",[4086],1,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,740,"[719.334, 10.89, 315.0, 183.15, 16.0, 7.0, 45.0]",[],0,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
1,2658,"[374.616, 35.0, 7.92, 15.0, 10.0, 72.27, 12.0]",[3224],1,"['4783', '740', '2658', '3224', '2639', '98', '4642', '3409', '2773', '4086', '112', '2368', '3661', '2097', '1732', '4501', '4064', '1211', '4014', '4462', '3923', '3635', '2848', '1740', '1611', '3491', '648', '2903', '4005', '2322']"
2,4642,"[1032.57, 92.0, 4.95, 41.0, 137.0, 160.38, 18.0]",[],0,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,4106,"[884.9000000000001, 108.0, 46.0, 92.0, 85.14, 130.0, 4.95]",[],0,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
2,361,"[575.487, 52.47, 22.0, 24.0, 109.0, 53.46, 1.98]",[],0,"['4642', '4106', '361', '145', '2139', '238', '2832', '1725', '1190', '251', '2944', '1673', '2368', '2355', '239', '3102', '4193', '193', '708', '4337', '4482', '518', '4177', '1611', '484', '177', '960', '1857', '767', '4652']"
3,4446,"[247.5, 12.0, 40.589999999999996, 43.56, 34.65, 5.0, 7.0]",[],0,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,767,"[436.78800000000007, 13.0, 97.0, 38.0, 30.0, 24.0, 25.0]",[4432],1,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
3,866,"[307.4, 11.879999999999999, 142.56, 38.61, 33.66, 4.95, 12.87]",[],0,"['4446', '767', '866', '297', '786', '4945', '2549', '2848', '1601', '679', '4894', '4932', '2083', '6', '3939', '193', '1755', '986', '2820', '3704', '1728', '555', '484', '4955', '115', '4432', '238', '1602', '4665', '2949']"
4,4880,"[659.7360000000001, 57.42, 31.0, 21.78, 73.26, 53.46, 15.0]",[205],1,"['4880', '1600', '4596', '2949', '4061', '1028', '1522', '4586', '3102', '3643', '127', '205', '4887', '221', '1856', '3519', '453', '4932', '246', '2545', '1242', '4401', '2533', '2792', '3817', '740', '2224', '816', '4091', '4639']"
