,0,1,2,3,4,5,6,7,8,9,i1,i2,hl,nl
0,648,1739,1485,922,1178,3337,3820,4990,1984,4642,,5010,,
1,4814,2848,2155,3102,2912,3715,2210,4831,4642,145,,6906,,
2,740,953,4642,1611,2848,361,4106,4738,4760,297,,2499,,
3,4814,3037,1197,786,648,437,2549,2848,4735,324,,1257,,
4,1753,803,4433,125,2949,4760,4642,4131,1056,416,,7655,,
5,505,647,2639,1611,3510,3381,2355,1667,2848,9,,2499,,
6,4091,4665,18,3715,416,2833,4642,2284,3436,1611,,5010,,
7,4270,4596,116,4738,109,1013,324,238,874,773,,2499,,
8,647,648,193,4738,2274,4683,3335,397,3424,1684,,4717,,
9,1984,983,1646,648,3955,2155,2274,3335,4642,2355,,5010,,
10,647,1306,284,3335,3078,2509,240,1522,4879,2251,,63,,
11,2342,4270,266,1074,3861,4545,284,4642,4888,3535,,6906,,
12,125,2274,4270,361,1611,1755,2829,4642,1821,4960,,2499,,
13,4091,3885,882,1578,80,896,4477,4918,125,3319,,5010,,
14,647,193,4954,2342,4270,3335,4642,4106,3078,2632,,2499,,
15,3102,4270,3661,1263,2549,361,4446,1704,4831,4760,,5010,,
16,773,2342,532,284,2160,4005,3431,925,2755,127,,5319,,
17,2355,2139,1667,882,4907,917,3259,2086,104,2824,,3217,,
18,708,14,2342,1740,3335,4642,1254,4098,4798,1178,,5010,,
19,145,1053,2949,4757,691,4642,3932,2425,3335,1354,,2683,,
20,740,647,1252,708,2454,2639,3497,1764,145,505,,335,,
21,4270,2639,4642,361,397,1732,1370,4501,2049,2224,,2499,,
22,3371,2377,4954,740,193,97,2639,2355,4683,989,,2499,,
23,740,109,20,4642,276,803,617,1209,4106,1074,,6906,,
24,740,4177,2,647,983,4814,2848,3939,3182,181,,5319,,
25,2055,2639,1856,649,4888,2848,361,3267,2481,4005,,7449,,
26,1740,4096,4642,361,4005,145,4019,2050,1665,1198,,6906,,
27,1753,4573,2274,4270,1578,2097,3425,4546,193,42,,2683,,
28,4091,4270,3459,882,740,2616,284,366,4583,4284,,6906,,
29,1736,532,617,3078,1611,200,36,112,4499,1464,,6906,,
30,4814,4954,4096,532,4642,4005,3820,3459,505,1936,,6906,,
31,4642,803,4069,3510,2310,827,1178,1157,617,4410,,6906,,
32,740,4091,983,648,2549,5,3704,708,10,605,,5319,,
33,4338,4642,1357,3289,4047,416,125,2161,2294,389,,2499,,
34,740,1253,2912,4270,268,840,3459,827,1739,1493,,6906,,
35,882,1921,2401,4128,4533,4091,740,3735,2342,3330,,2499,,
36,437,2848,361,2904,4005,794,145,3282,121,4683,,6906,,
37,1118,740,4091,2,647,1984,2756,903,1646,1633,,4253,,
38,784,960,4642,3965,827,3932,648,361,38,3849,,6906,,
39,4918,112,4888,4783,2949,4290,4118,382,1244,2824,,3184,,
40,4245,268,1178,1951,1492,4302,1562,882,4676,2949,,5010,,
41,740,4091,2,647,1252,1646,4814,866,786,1690,,332,,
42,786,1879,284,98,145,2447,2188,609,1628,1684,,5006,,
43,1118,4446,4783,4091,3300,2,647,1252,908,1646,,63,,
44,1398,361,4106,3459,80,3996,145,2549,4699,1984,,5319,,
45,4894,4642,1287,3210,323,1074,4005,1357,3900,664,,2499,,
46,648,4760,2274,772,4642,4131,2439,1611,621,294,,6335,,
47,740,647,586,2274,2227,617,4573,3431,3652,1254,,3203,,
48,3182,4245,268,361,2139,4954,4642,54,4453,4228,,2499,,
49,284,744,648,505,1740,3785,4960,4760,4017,4194,,4717,,
50,945,2549,191,4642,1555,2342,1681,2436,648,708,,4717,,
51,647,648,708,2377,784,2274,4096,284,719,361,,3184,,
52,145,4270,3955,908,4937,2342,3015,1740,1790,3736,,7655,,
53,2904,3467,3372,121,4642,1013,2210,713,839,1178,,5319,,
54,193,4642,4005,42,3660,2951,586,4791,983,648,,3203,,
55,4642,909,145,4940,1921,2200,1602,1809,2274,647,,4253,,
56,4446,740,4177,647,357,1984,2756,3813,4814,297,,1833,,
57,712,2274,2890,2420,1460,960,2848,109,4091,882,,3203,,
58,4446,4783,647,4493,4372,1711,3510,2988,1854,4445,,5006,,
59,2820,1406,4738,2274,3510,3905,4005,3497,4069,882,,2499,,
60,2274,2848,4941,882,772,3337,1087,37,1950,3424,,2499,,
61,740,983,786,2549,2848,193,2820,2280,1455,2200,,3203,,
62,740,3813,1601,9,532,4698,4841,145,2266,4986,,3203,,
63,4091,1984,1343,2377,4738,4245,4642,3145,1041,4128,,3203,,
64,361,4457,1464,189,3565,3068,532,197,3206,3652,,6906,,
65,3173,2077,647,193,4177,1555,3730,203,416,1451,,2683,,
66,4446,2848,4106,882,1619,4051,2120,740,4642,3221,,2499,,
67,4446,740,647,983,786,648,2549,2848,324,4932,,1168,,
68,484,4216,284,3198,3259,3263,268,4096,397,925,,6906,,
69,740,647,648,2549,193,2342,2155,37,4270,3167,,63,,
70,4783,647,983,786,88,1711,14,2280,2342,3685,,5010,,
71,4783,1252,1197,1357,193,484,4918,1306,3185,338,,1168,,
72,903,648,4,193,4372,1728,4918,4432,708,125,,332,,
73,4091,647,1252,2949,2280,3102,4683,416,3335,98,,4717,,
74,3300,12,4738,4270,4642,276,2828,989,3225,1149,,5010,,
75,4446,4783,648,4270,2210,772,109,279,1113,72,,2683,,
76,3318,1113,3660,4778,3212,184,1856,3510,4767,1728,,2499,,
77,786,2274,3510,532,4691,3715,3335,2194,3652,145,,1511,,
78,4783,740,647,648,193,4955,4665,413,2256,403,,332,,
80,4091,1984,648,10,4275,2280,1879,4888,109,2639,,6335,,
81,4683,4757,882,2037,125,4804,3459,3856,1421,145,,5006,,
82,4783,740,4177,647,983,1646,4814,648,4482,2848,,1124,,
83,4880,772,4270,1755,4245,2610,4005,4683,1711,2274,,2499,,
84,3438,960,2227,1708,1071,6,4409,4929,916,4446,,5006,,
85,647,14,2280,4642,361,38,3643,855,4005,4907,,4253,,
86,4005,505,2773,4642,2368,2454,4841,366,983,187,,6906,,
87,130,3238,740,4738,3312,397,953,2274,1458,3942,,2499,,
88,4177,2848,193,2274,4683,1074,4140,2970,882,4561,,2499,,
89,740,647,908,2848,125,2342,3102,2274,2355,268,,5319,,
90,740,4814,1357,3939,193,4683,4698,3421,4337,3424,,2499,,
91,1611,784,3459,4680,3564,3198,2474,647,1983,1254,,800,,
92,4814,839,739,4642,145,3237,4961,4096,366,647,,5010,,
93,647,2377,2155,3102,2639,4911,927,397,4573,189,,2499,,
94,1118,4446,4783,4091,4177,4827,2,647,1653,1252,,2022,,
95,740,983,4026,297,2848,5,3704,3165,2105,2246,,6906,,
96,4783,4091,193,2458,125,4275,839,2674,2342,3685,,3203,,
97,4446,1,4783,740,4091,4177,647,1252,1984,903,,5180,,
98,4642,3564,361,708,4270,2949,3675,4888,1126,1142,,5319,,
99,740,4177,647,2756,4814,3263,648,2220,3143,4918,,3203,,
100,740,647,357,3813,4814,297,2549,1357,193,1755,,7557,,
101,4642,4349,617,3282,255,2848,284,925,3967,2988,,6906,,
102,4894,125,1854,4567,2773,4396,882,3785,1178,744,,5010,,
103,1118,4446,4783,740,4091,4827,647,2756,903,1646,,7470,,
104,3335,4349,1711,1330,3425,1611,3080,80,2637,2280,,5319,,
105,786,648,3397,2274,4642,3271,459,125,2256,145,,5319,,
106,462,3459,1054,882,1753,415,4683,3719,803,2200,,6906,,
107,4091,773,648,1357,193,3676,4665,3102,37,532,,63,,
108,1118,4446,4783,740,1906,4091,4177,812,647,4810,,7946,,
109,647,2756,4814,786,4945,2549,1601,3939,1755,4493,,6276,,
110,647,193,4955,4918,708,284,3314,4642,4913,2178,,6654,,
111,740,4091,648,2105,532,4533,2639,4642,1681,2459,,6906,,
112,4245,2274,462,4876,1087,284,647,2251,3795,1306,,1168,,
113,740,484,2949,2155,2274,4642,276,80,4960,1698,,5010,,
114,125,4642,708,1149,555,2773,145,227,3111,2317,,5010,,
115,4091,1057,3510,532,3900,4005,3571,4392,4069,3225,,3203,,
116,740,3198,2454,4005,145,112,2352,2621,1178,2904,,5006,,
117,786,4642,3078,3891,647,1764,276,2295,4937,708,,5006,,
118,647,679,2957,4573,4106,3078,387,284,648,1205,,3203,,
119,4091,647,4880,3127,4446,3355,882,4642,2732,2811,,3203,,
120,740,647,2549,3939,193,3083,4642,4005,2773,2474,,3203,,
