,0,1,2,3,4,5,6,7,8,9,i1,i2,nl
0,3942,2549,248,3770,2860,677,3105,1103,3391,3783,1043,,
1,2280,3094,4876,1172,1014,1713,177,4394,1460,3628,3497,,
2,4340,3472,3226,3910,3647,177,845,205,3888,2476,5298,,
3,4446,976,4026,2848,1357,193,4918,708,125,4275,6270,,
4,3456,565,1333,794,828,1715,425,286,251,4577,1505,,
5,205,330,2160,98,4879,1684,305,4061,767,630,7449,,
6,3942,874,4640,3097,2953,4725,1667,1051,3045,1066,7655,,
7,1005,2404,4295,742,1626,3041,2225,1841,4479,2824,1170,,
8,225,3084,3799,1695,2523,2070,1062,3145,2458,1278,4384,,
9,248,4988,150,2478,140,2256,2326,2576,1585,1984,869,,
10,505,2782,284,3366,15,2086,4778,2866,411,1695,5010,,
11,2119,4899,4843,1354,627,3667,1705,772,2905,2309,5058,,
12,1087,4194,2508,3052,2158,2555,1212,617,940,1109,728,,
13,3459,2832,4847,4842,4524,4522,2811,450,2452,4730,2816,,
14,3343,1554,3168,2607,4461,3788,40,4569,4261,4778,7642,,
15,3576,4546,160,2500,760,287,198,4719,4814,348,2001,,
16,225,2970,1795,1706,4640,3270,2848,2086,2217,67,2007,,
17,4698,4961,3424,744,416,4888,2356,3210,3652,3066,298,,
18,3828,1951,3007,4226,543,1018,1703,4018,2298,569,7620,,
19,3971,1659,3015,3211,2835,3519,710,4791,57,2730,7470,,
20,361,3459,1825,3823,3565,1961,3073,1184,1686,952,4836,,
21,3873,234,4740,2975,425,1354,4256,3995,432,3045,3512,,
22,556,4396,3198,4691,3932,3459,3210,1276,3018,4890,3203,,
23,211,984,2646,4143,4635,465,4211,4208,1722,3093,3502,,
24,2851,2256,276,1994,586,1679,3880,122,2657,54,5966,,
25,4570,2350,248,4783,3227,1121,1706,1359,3971,2326,5825,,
26,45,3555,1854,3949,1578,1695,3073,1087,3290,3531,7557,,
27,421,2523,1635,425,3183,3055,1152,2617,239,3018,7229,,
28,2608,556,187,1405,2657,450,3022,1721,2199,2344,5966,,
29,1062,4332,2796,2912,4603,1005,1278,3729,2523,1174,4384,,
30,3459,3636,1178,4533,160,54,3337,3897,2536,2139,2816,,
31,708,2342,4783,2220,4838,4738,4086,1681,4022,4506,7956,,
32,4382,3685,1574,4398,1037,1119,1492,1493,3545,523,3484,,
33,3732,1667,934,3768,2639,3146,1069,1611,2496,4825,2320,,
34,4554,4091,98,1957,4738,4951,2530,3431,2440,4985,800,,
35,647,4071,1646,391,3270,2821,203,2222,40,782,1511,,
36,3258,4752,1164,3007,4756,2188,2684,923,4041,3628,2809,,
37,4177,1984,4026,125,3314,4642,2911,2200,2029,2506,7367,,
38,4752,2516,1841,4445,713,1262,1791,200,1261,4012,3399,,
39,295,676,3251,1411,1611,2050,4573,4725,2663,4272,840,,
40,114,4985,1479,1709,382,711,252,2946,1253,2031,4574,,
41,2646,1722,4143,4396,3600,106,3576,2851,2334,34,3502,,
42,4524,2549,193,1685,2970,2256,4940,2345,2543,1429,5024,,
43,2639,4005,145,2575,505,2004,4887,4835,3061,2349,4863,,
44,2222,4524,3314,837,4026,1943,4392,2342,4084,3389,3355,,
45,198,256,983,4349,2637,3791,2903,3501,4097,4836,4308,,
46,3519,234,4149,391,4858,3227,140,2614,4071,415,335,,
47,3519,802,326,3472,2223,4406,2295,1242,3958,845,5298,,
48,3802,6,925,264,176,4877,421,2773,1431,1056,6426,,
49,1711,1252,2599,1430,4534,1411,3533,3366,688,1957,4053,,
