,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,i1,i2,hl,nl
0,708,827,2155,1391,4798,145,3234,4760,2681,800,4533,2499,2295,4270,3337,2409,3417,3497,484,3483,4683,14,3619,3322,1175,4599,2470,2833,1646,983,744,218,4725,1698,50,923,4570,973,134,2304,1287,2990,740,4493,2750,337,1178,4481,4635,2820,1281,4093,105,2462,266,137,4406,2774,3732,4895,301,2730,4911,784,3565,643,2342,2658,459,495,518,3015,3624,132,2549,2970,972,936,175,125,1330,1844,4206,2691,4940,2638,2531,2773,117,507,3313,4642,2119,2533,2553,1613,425,883,4091,1205,,5010,,
1,3102,2988,3524,416,2454,4642,2355,361,2970,2138,1091,4131,880,4302,1178,1943,117,240,4793,923,2990,1522,2496,882,4888,1674,3243,3704,655,2086,3459,1755,3440,109,314,459,484,3293,617,2468,145,4453,4593,979,3962,853,2025,4096,3330,148,2848,2198,3869,1205,4880,4533,4501,731,4748,3282,3097,1698,4760,127,2070,3198,4764,3883,1612,3154,4871,2824,4752,832,268,4445,4959,4091,3545,1646,151,4564,4890,1667,1607,4474,2155,2487,711,1254,1806,3510,4683,3768,502,4418,4554,740,687,4687,,6906,,
2,2274,4642,1464,1129,1667,361,679,3107,3567,4091,2126,2342,2694,2120,1548,1615,2525,4270,2210,20,4968,647,2468,125,3602,2072,2136,4658,1952,772,2263,3238,240,953,1918,3211,3282,3393,3892,4778,198,3812,1139,4005,2616,4164,1611,4177,2163,2750,804,41,2740,4949,557,3593,3757,1087,928,4683,3584,2949,882,3424,2924,1681,3928,343,4561,1715,2654,4783,4118,3770,4927,4308,4106,172,80,2238,1062,4788,1022,2101,115,1451,3802,2646,1085,832,4474,3524,3516,2610,1601,794,4656,2990,1152,2854,,2499,,
3,297,786,648,2549,2848,1601,4735,4390,4048,193,1755,2820,4093,484,708,1343,10,4275,3676,2949,3185,2105,3238,4675,673,1406,2246,4971,4836,181,2280,3397,4128,2342,2663,4722,2718,2155,15,3048,2274,4245,3510,3684,2988,4793,1933,4445,960,3198,465,286,4683,2210,2658,3905,772,2454,284,544,1236,2599,109,3083,4477,4642,979,4053,3432,173,3196,3018,361,4506,2968,248,1224,2852,80,4344,4635,1873,1791,107,3573,3571,2998,4151,3497,1902,4219,4183,3413,4511,1074,4789,1517,3078,553,145,,1257,,
4,1485,3421,505,4118,157,3472,3888,3282,784,2295,3846,1886,3652,238,2820,1175,3715,4656,145,3391,4493,4683,677,908,4245,4039,1143,1844,586,457,4158,3923,3138,4589,2510,3901,62,3431,3584,1926,2355,37,594,4569,4215,2747,3290,159,4894,3068,3826,3152,3039,1951,68,4044,3781,3563,4983,3344,1088,2319,3625,2105,259,4096,807,4036,2712,98,1630,249,909,337,2004,14,2301,1474,1204,240,4573,3475,3036,1698,191,2577,3234,4651,1753,4798,4932,4961,3099,413,4580,4505,1196,1695,205,2442,,7655,,
5,2681,647,3102,945,3335,2274,4245,2646,4640,973,181,2198,4965,676,4520,53,1464,2828,459,565,882,4642,4715,4208,1370,239,225,2377,4941,2210,297,1749,1063,2095,295,4585,4003,4573,4927,3435,1202,1633,2988,4164,2083,3047,453,204,1922,37,3759,2545,3179,1912,609,1857,2866,479,894,1209,296,1240,2298,2152,64,4477,2507,348,953,361,2937,4668,416,472,499,2831,1333,553,2658,2608,2970,1407,2468,1443,115,2689,2755,2848,1595,4093,2055,4767,147,3661,1037,127,3183,1321,72,1270,,2499,,
6,4493,2105,14,725,2274,4683,3314,4642,276,4789,3660,2638,3138,532,4829,302,1921,1711,4757,361,1646,2474,3499,145,24,3704,1406,470,3091,4570,2394,1960,4533,1706,125,4256,2280,112,2425,2496,1673,3063,3204,1485,4790,2238,62,2430,4002,562,4981,2853,1828,4026,2355,1684,4014,461,2944,4854,2408,23,4245,4043,4661,3227,4783,4573,983,522,4987,4831,4665,2972,908,1331,3442,2548,1943,489,2945,682,4149,960,3337,2393,2653,2531,240,2731,3715,66,4993,2949,4918,1178,4569,4261,4680,3282,,5010,,
7,647,1899,1871,85,112,3510,3600,2024,4119,1493,4477,321,4783,1324,1818,3182,1437,3083,3394,4955,2139,928,2132,4738,4171,166,1753,3035,3479,4091,80,885,1531,403,3228,1412,3817,1822,4954,3715,4659,3567,4960,1089,37,4,4278,3198,295,1583,3165,3045,4445,4880,2800,4945,1667,1602,583,2988,1578,1921,4240,3738,4716,566,4447,4642,569,3210,4589,4531,2865,1685,3055,4561,4532,1478,2854,3048,1287,10,3275,848,1740,4710,4301,361,1778,3924,1468,2298,3845,4302,323,907,4140,2355,4593,3039,,2499,,
8,4432,708,2280,2342,1278,4683,2454,1224,4086,3892,882,3491,2792,1821,1522,4194,2666,3238,413,892,1927,4406,4318,874,1412,2703,588,3818,3314,3424,1611,1918,2949,4645,2828,1504,4642,4778,4533,711,2256,1894,2975,4373,1896,3083,4754,217,2470,935,361,3059,4836,2034,2251,2247,388,4478,1708,1642,4670,1176,42,1149,2632,98,2243,3329,3791,3788,258,4512,4742,193,532,1458,610,3453,1430,1448,2741,972,4208,2549,940,465,2179,62,1357,486,2349,495,1740,4814,4303,3217,2500,3654,1994,2055,,4717,,
9,708,4382,1740,532,3335,4642,4573,45,4470,882,1705,1129,892,3791,3034,516,75,2342,4171,2694,3935,4245,3685,2468,4767,4665,3066,4270,203,67,3329,4469,1353,4783,4298,3977,14,1646,2445,1922,3661,303,3314,2949,185,193,4670,2937,1405,145,609,1485,2681,4533,647,2682,949,3001,1697,302,98,4941,1926,4918,4847,588,646,3640,3779,2422,3564,2666,983,4843,4386,2506,3102,123,470,2351,3695,1403,4098,1448,786,3501,3351,3392,1946,186,641,3371,2500,4106,1523,88,617,276,4652,4265,,5010,,
