user,include,item list
0,5298,"[1253, 2317, 4340, 809, 1777, 750, 2866, 4071, 4481, 2222]"
1,2320,"[2639, 4044, 1708, 3342, 1667, 3768, 4640, 4564, 1174, 4338]"
2,4717,"[617, 4737, 4665, 484, 990, 3365, 1289, 2653, 357, 4913]"
3,7557,"[648, 1690, 4945, 4336, 1879, 20, 2160, 45, 3045, 4869]"
4,6324,"[1755, 2861, 4335, 357, 3781, 1190, 4228, 3121, 4590, 577]"
5,4836,"[361, 3300, 1184, 4093, 3369, 289, 4194, 2004, 2586, 2799]"
6,4836,"[152, 10, 495, 361, 3459, 4344, 1184, 4342, 986, 3565]"
7,7470,"[2562, 2884, 1613, 57, 3211, 4501, 2835, 3015, 1855, 1777]"
8,7642,"[4778, 2607, 2175, 2015, 4981, 3343, 3593, 2267, 4272, 2088]"
9,7233,"[3198, 4194, 4110, 4551, 2689, 3424, 3930, 4715, 3781, 1089]"
10,4574,"[1922, 2031, 1337, 2769, 320, 1253, 382, 1371, 3935, 711]"
11,4253,"[3613, 1611, 1807, 2667, 3537, 553, 772, 2989, 4444, 2105]"
12,8021,"[2392, 2639, 191, 3730, 2217, 4954, 1597, 911, 1737, 71]"
13,5966,"[4949, 3055, 4319, 282, 2162, 2657, 3939, 137, 979, 713]"
14,5966,"[3337, 3237, 3880, 3810, 3895, 276, 1405, 54, 3055, 839]"
15,6276,"[1074, 361, 357, 2831, 1752, 3371, 1550, 960, 302, 4128]"
16,5915,"[3432, 2988, 4956, 1333, 2354, 1162, 4432, 1150, 4560, 4489]"
17,4253,"[921, 3438, 4094, 252, 1673, 4337, 3501, 4652, 3635, 4039]"
18,3723,"[4396, 4661, 617, 3210, 3950, 4572, 3715, 3109, 1218, 2311]"
19,6276,"[593, 115, 4005, 4745, 4683, 1752, 361, 4118, 2095, 3304]"
20,2148,"[1178, 4661, 4337, 1431, 953, 2896, 1456, 3905, 983, 4171]"
21,2683,"[532, 286, 617, 4798, 3041, 1709, 1071, 1751, 1554, 4764]"
22,4987,"[1951, 36, 2050, 3424, 4757, 4233, 3109, 2848, 1382, 2316]"
23,1093,"[704, 4284, 1617, 716, 4533, 2139, 191, 3533, 2616, 3794]"
24,3723,"[4722, 303, 4396, 1582, 3474, 3109, 4757, 300, 3210, 1782]"
25,1257,"[99, 1778, 4005, 2439, 1685, 664, 3390, 1602, 3955, 3604]"
26,5695,"[3285, 583, 2289, 196, 3591, 186, 2757, 2160, 470, 4541]"
27,3184,"[4642, 3565, 2811, 41, 4950, 4091, 1552, 836, 548, 3928]"
28,5298,"[3444, 1253, 2223, 1472, 1371, 3857, 4340, 2866, 3854, 205]"
29,5006,"[2639, 2657, 4433, 4194, 373, 4986, 1715, 3262, 4001, 3022]"
30,8021,"[4477, 1778, 254, 870, 1252, 3441, 698, 1779, 2639, 3565]"
31,6270,"[4783, 708, 125, 4396, 3342, 1085, 323, 4793, 2499, 3198]"
32,4096,"[4177, 4001, 4598, 1720, 4760, 2684, 1684, 1097, 2970, 1464]"
33,342,"[1242, 3479, 3543, 3624, 4617, 4960, 192, 710, 3315, 2119]"
34,1910,"[4814, 2949, 4005, 4656, 1599, 4710, 437, 2420, 4722, 416]"
35,5695,"[3480, 4149, 1421, 4809, 4084, 2769, 3647, 3962, 1561, 68]"
