user,exclude,item list
0,5010,"[532, 2342, 112, 125, 2170, 4738, 856, 80, 3078, 3314]"
1,6906,"[908, 1690, 2377, 3102, 2912, 780, 416, 3335, 4642, 2178]"
2,2499,"[740, 1057, 297, 1740, 3102, 2831, 4561, 3453, 4228, 866]"
3,1257,"[4446, 648, 1690, 437, 2549, 2848, 324, 679, 1357, 88]"
4,7655,"[882, 3102, 4270, 3483, 4642, 135, 648, 397, 1355, 820]"
5,2499,"[3337, 740, 2179, 437, 4533, 2300, 1667, 2949, 3335, 193]"
6,5010,"[4177, 708, 4642, 2136, 894, 2470, 2315, 1028, 3019, 2289]"
7,2499,"[4489, 4642, 125, 2820, 1595, 1740, 2342, 2741, 4960, 4177]"
8,4717,"[4177, 866, 297, 2646, 18, 815, 4642, 1821, 361, 1791]"
9,5010,"[708, 2949, 2355, 80, 2139, 145, 1611, 45, 1774, 4239]"
10,63,"[2820, 3685, 2139, 2510, 1457, 4724, 3421, 2608, 2484, 3391]"
11,6906,"[3497, 945, 1751, 2355, 3224, 4814, 3040, 4245, 1034, 3018]"
12,2499,"[4955, 4270, 4642, 361, 4280, 4239, 3282, 1033, 405, 3985]"
13,5010,"[648, 145, 1074, 495, 1646, 945, 416, 708, 2220, 4573]"
14,2499,"[125, 1711, 2988, 361, 3424, 2139, 1611, 4064, 516, 2338]"
15,5010,"[786, 193, 4382, 3102, 2139, 112, 2136, 3192, 2295, 2689]"
16,5319,"[2549, 4337, 3459, 2970, 1178, 882, 3829, 732, 4798, 2207]"
17,3217,"[125, 145, 882, 4960, 85, 137, 3100, 647, 2280, 3510]"
18,5010,"[4783, 648, 708, 2949, 14, 1740, 4683, 3431, 3497, 882]"
19,2683,"[3543, 193, 3910, 361, 3459, 2458, 2136, 4738, 1418, 2991]"
20,335,"[740, 4177, 647, 648, 2549, 125, 2949, 2377, 2912, 3335]"
21,2499,"[647, 3102, 2274, 266, 361, 4396, 262, 1995, 2755, 105]"
22,2499,"[4245, 1557, 1646, 1681, 3873, 4847, 588, 2274, 4708, 217]"
23,6906,"[1118, 740, 2949, 1711, 1556, 2342, 1278, 960, 109, 923]"
24,5319,"[647, 4814, 767, 2820, 484, 708, 1088, 815, 4270, 960]"
25,7449,"[2274, 255, 2970, 505, 361, 3048, 4106, 647, 1091, 1667]"
26,6906,"[983, 4894, 1740, 4683, 513, 284, 3314, 3018, 361, 2740]"
27,2683,"[361, 3939, 4783, 2501, 4093, 2355, 4496, 2543, 4064, 1970]"
28,6906,"[2342, 3519, 2949, 4945, 3510, 4349, 908, 1611, 4091, 1774]"
29,6906,"[4177, 648, 3685, 284, 3018, 2773, 750, 2970, 1184, 1690]"
30,6906,"[4814, 648, 4493, 4245, 4888, 2530, 956, 505, 112, 4572]"
31,6906,"[4446, 4177, 908, 3037, 866, 986, 484, 115, 2342, 4270]"
32,5319,"[1984, 297, 2848, 679, 2949, 1711, 2280, 4954, 4722, 3258]"
33,2499,"[1809, 3305, 2295, 4091, 804, 4012, 449, 3238, 516, 2903]"
34,6906,"[3182, 1711, 586, 397, 1791, 2773, 2474, 4767, 4194, 505]"
35,2499,"[3335, 4960, 4091, 516, 3944, 4433, 3322, 217, 1646, 4918]"
36,6906,"[1053, 2949, 505, 945, 3759, 2978, 4601, 3035, 1762, 4961]"
37,4253,"[1118, 4446, 3823, 4783, 740, 4091, 3300, 2, 647, 357]"
38,6906,"[4493, 1711, 3258, 3888, 4096, 4445, 4683, 4106, 3817, 2468]"
39,3184,"[1698, 276, 3335, 3732, 3182, 193, 3459, 3198, 2359, 708]"
40,5010,"[679, 3258, 3335, 1621, 4337, 361, 4573, 3381, 2062, 3892]"
41,332,"[4446, 4783, 740, 4091, 297, 1089, 648, 679, 193, 3732]"
42,5006,"[740, 708, 3424, 3519, 4876, 1457, 4966, 312, 203, 2621]"
43,63,"[4783, 4091, 3300, 647, 983, 4814, 3037, 297, 1089, 648]"
44,5319,"[1501, 505, 125, 3909, 2848, 1740, 1139, 3066, 3441, 3125]"
45,2499,"[4091, 647, 4045, 4270, 4642, 4136, 882, 2311, 2126, 1778]"
46,6335,"[2274, 1681, 4622, 4245, 945, 708, 193, 2222, 62, 420]"
47,3203,"[4446, 647, 786, 193, 1740, 2274, 284, 361, 617, 4344]"
48,2499,"[361, 2632, 647, 3335, 2280, 165, 2927, 2829, 2179, 295]"
49,4717,"[1034, 2820, 20, 361, 145, 3007, 1252, 3519, 983, 4887]"
50,4717,"[2274, 505, 647, 664, 2136, 3102, 112, 772, 882, 1475]"
51,3184,"[3823, 647, 357, 1646, 648, 193, 4093, 238, 1711, 413]"
52,7655,"[4270, 2355, 3459, 2025, 276, 4005, 3367, 361, 1747, 1196]"
53,5319,"[2139, 42, 4642, 4970, 708, 125, 4457, 3198, 1029, 739]"
54,3203,"[2848, 708, 125, 532, 3424, 1454, 2125, 2139, 1344, 1522]"
55,4253,"[3582, 2265, 1873, 870, 425, 1712, 882, 3018, 1698, 4025]"
56,1833,"[1118, 740, 4091, 3300, 2, 647, 1653, 357, 1984, 2756]"
57,3203,"[3687, 125, 593, 3578, 4475, 1740, 297, 1128, 1033, 698]"
58,5006,"[1646, 648, 2848, 4493, 555, 4760, 18, 4124, 416, 739]"
59,2499,"[866, 3102, 4683, 4642, 361, 882, 238, 554, 3835, 115]"
60,2499,"[3565, 1715, 361, 4814, 2280, 4545, 1667, 3695, 3035, 2181]"
61,3203,"[4814, 786, 1755, 1854, 4888, 4642, 3019, 252, 3854, 1230]"
62,3203,"[1252, 648, 2848, 3127, 98, 4642, 276, 3424, 3164, 3918]"
63,3203,"[2549, 2274, 1209, 4767, 112, 4408, 4245, 2295, 4683, 4248]"
64,6906,"[3818, 1178, 4026, 1667, 4894, 2828, 3216, 1029, 459, 4683]"
65,2683,"[361, 1711, 3995, 125, 2086, 1479, 505, 1140, 88, 648]"
66,2499,"[983, 3647, 1921, 4674, 2970, 882, 4091, 4169, 4954, 2876]"
67,1168,"[647, 1646, 648, 2848, 193, 3182, 2739, 2663, 3102, 4245]"
