user,hist,target,item list
0,925,"[993.168, 94.0, 43.56, 102.96, 90.0, 147.51, 22.0]","[4480, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
1,983,"[657.4, 83.16, 20.79, 32.0, 43.56, 51.0, 6.93]","[1118, 1, 3823, 4783, 740, 1906, 4091, 4177, 3300, 812]"
2,4642,"[957.429, 87.12, 69.0, 51.0, 79.0, 159.39, 25.0]","[1118, 0, 4446, 3823, 4783, 740, 1906, 4091, 4177, 3300]"
3,866,"[1247.1000000000001, 86.13, 59.4, 77.0, 140.0, 128.0, 36.0]","[3685, 1118, 0, 4446, 1, 773, 4468, 976, 3050, 4026]"
4,2274,"[466.488, 0.0, 278.0, 0.0, 0.0, 0.0, 23.759999999999998]","[2274, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
5,1196,"[483.40000000000003, 49.5, 43.56, 9.0, 34.65, 45.54, 10.0]","[284, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
6,3883,"[335.1, 10.0, 16.0, 0.99, 15.84, 8.91, 18.81]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
7,632,"[763.6859999999999, 26.0, 63.0, 42.57, 59.4, 15.84, 41.58]","[3424, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
8,648,"[762.795, 80.19, 6.93, 37.62, 76.23, 123.75, 10.0]","[3459, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
9,4493,"[2485.1, 339.57, 146.0, 14.0, 62.0, 149.49, 29.7]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
10,4642,"[954.9, 87.0, 21.0, 38.0, 64.0, 160.0, 27.0]","[708, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
11,361,"[395.802, 48.0, 36.63, 22.77, 29.7, 48.51, 4.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
12,3715,"[614.592, 30.69, 183.15, 11.0, 69.3, 26.73, 24.75]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
13,1921,"[328.97700000000003, 5.0, 214.0, 0.0, 14.85, 2.0, 23.0]","[3479, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
14,4683,"[720.5999999999999, 44.55, 196.02, 10.89, 19.0, 86.13, 35.0]","[1646, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
15,4390,"[596.376, 49.5, 67.0, 99.0, 96.03, 67.0, 7.92]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
16,2997,"[816.0, 74.25, 173.0, 15.0, 30.0, 41.58, 30.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
17,1121,"[321.057, 2.9699999999999998, 239.0, 23.759999999999998, 4.0, 6.93, 23.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
18,1690,"[625.3, 53.0, 31.0, 79.0, 67.32, 68.31, 13.86]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
19,4945,"[1250.4689999999998, 95.03999999999999, 69.3, 82.0, 109.0, 93.0, 37.0]","[361, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
20,648,"[2580.3, 197.01, 1087.0, 50.0, 108.0, 146.52, 105.92999999999999]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
21,648,"[1348.4789999999998, 101.0, 52.47, 84.15, 121.77, 102.0, 39.6]","[4945, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
22,4098,"[687.8, 50.0, 97.0, 30.69, 124.0, 46.53, 11.879999999999999]","[484, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
23,2549,"[823.185, 44.0, 307.0, 141.57, 24.75, 58.0, 45.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
24,1252,"[261.954, 16.83, 80.19, 27.0, 24.75, 10.0, 8.91]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
25,3314,"[2315.8, 163.35, 1113.75, 33.0, 68.31, 115.0, 108.0]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
26,3888,"[3111.4, 403.0, 30.0, 181.0, 288.09, 721.0, 15.84]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
27,2536,"[713.3, 77.22, 26.73, 41.58, 69.3, 146.52, 8.91]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
28,4635,"[1371.645, 91.08, 24.75, 95.0, 339.0, 112.86, 10.0]","[1740, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
29,1602,"[502.128, 58.0, 79.2, 8.91, 25.74, 23.759999999999998, 10.89]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
30,2,"[2909.808, 347.49, 159.0, 293.04, 183.0, 302.94, 45.54]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
31,1854,"[521.8, 41.58, 141.57, 10.89, 12.0, 34.0, 19.8]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
32,740,"[828.531, 54.45, 222.75, 50.0, 44.55, 70.29, 34.65]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
33,361,"[1347.7859999999998, 64.0, 23.0, 63.0, 82.0, 56.43, 66.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
34,193,"[1254.3000000000002, 155.43, 19.0, 68.31, 129.0, 178.2, 5.0]","[2522, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
35,617,"[1193.1, 113.85, 147.51, 68.0, 136.62, 135.63, 18.81]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
36,2274,"[1983.168, 169.0, 711.81, 22.77, 55.44, 325.71, 68.0]","[1855, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
37,4783,"[447.40000000000003, 22.77, 24.0, 33.66, 46.0, 10.89, 17.0]","[4735, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
38,4814,"[668.745, 60.0, 113.85, 25.0, 29.7, 66.33, 23.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
39,3497,"[497.27699999999993, 46.53, 67.32, 15.84, 16.0, 17.0, 16.83]","[839, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
40,2342,"[355.8, 15.0, 93.0, 8.91, 12.0, 28.0, 19.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
41,740,"[812.0, 41.58, 236.0, 23.759999999999998, 71.0, 25.74, 35.64]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 3300]"
42,3939,"[502.128, 29.7, 28.0, 16.0, 37.62, 32.0, 20.79]","[588, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
43,4091,"[2466.288, 172.26, 1093.95, 77.22, 148.5, 107.0, 104.0]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
